Time,AccX,AccY,AccZ
0.0,328,-246,16234
0.1,876,140,15971
0.2,1234,-339,16345
0.3,1456,73,16876
0.4,1567,-473,16123
0.5,1345,-140,16456
0.6,987,273,16012
0.7,543,-406,16567
0.8,123,206,16289
0.9,-234,339,16734
1.0,-567,473,16345
1.1,-789,-73,16890
1.2,-456,-246,16612
1.3,-123,140,17045
1.4,234,-339,16567
1.5,567,406,16901
1.6,789,-473,16734
1.7,456,73,17123
1.8,123,-140,16678
1.9,-234,273,17012
2.0,328,-406,16456
2.1,876,234,16890
2.2,1234,-567,16734
2.3,1456,123,17167
2.4,1567,-789,16512
2.5,1345,-234,16945
2.6,987,456,16389
2.7,543,-678,16823
2.8,123,345,16667
2.9,-234,567,17001
3.0,-567,789,16445
3.1,-789,-123,16878
3.2,-456,-456,16723
3.3,-123,234,17156
3.4,234,-567,16589
3.5,567,-789,17023
3.6,789,123,16467
3.7,456,-345,16901
3.8,123,567,16745
3.9,-234,789,17178
4.0,328,-123,16623
4.1,876,-456,17056
4.2,1234,234,16489
4.3,1456,-567,16923
4.4,1567,-789,16767
4.5,1345,123,17201
4.6,987,-345,16645
4.7,543,567,17078
4.8,123,789,16523
4.9,-234,-123,16956
5.0,-567,-456,16789
5.1,-789,234,17223
5.2,-456,-567,16667
5.3,-123,-789,17101
5.4,234,123,16545
5.5,567,-345,16978
5.6,789,567,16823
5.7,456,789,17256
5.8,123,-123,16689
5.9,-234,-456,17123
6.0,328,234,16567
6.1,876,-567,17001
6.2,1234,-789,16845
6.3,1456,123,17278
6.4,1567,-345,16723
6.5,1345,567,17156
6.6,987,789,16589
6.7,543,-123,17023
6.8,123,-456,16867
6.9,-234,234,17301
7.0,-567,-567,16745
7.1,-789,-789,17178
7.2,-456,123,16623
7.3,-123,-345,17056
7.4,234,567,16889
7.5,567,789,17323
7.6,789,-123,16767
7.7,456,-456,17201
7.8,123,234,16645
7.9,-234,-567,17078
8.0,328,-789,16923
8.1,876,123,17356
8.2,1234,-345,16789
8.3,1456,567,17223
8.4,1567,789,16667
8.5,1345,-123,17101
8.6,987,-456,16945
8.7,543,234,17378
8.8,123,-567,16823
8.9,-234,-789,17256
9.0,-567,123,16689
9.1,-789,-345,17123
9.2,-456,567,16967
9.3,-123,789,17401
9.4,234,-123,16845
9.5,567,-456,17278
9.6,789,234,16723
9.7,456,-567,17156
9.8,123,-789,16989
9.9,-234,123,17423
10.0,328,-345,16867
10.1,876,567,17301
10.2,1234,789,16745
10.3,1456,-123,17178
10.4,1567,-456,17023
10.5,1345,234,17456
10.6,987,-567,16889
10.7,543,-789,17323
10.8,123,123,16767
10.9,-234,-345,17201
11.0,-567,567,17045
11.1,-789,789,17478
11.2,-456,-123,16923
11.3,-123,-456,17356
11.4,234,234,16789
11.5,567,-567,17223
11.6,789,-789,17067
11.7,456,123,17501
11.8,123,-345,16945
11.9,-234,567,17378
12.0,328,789,16823
12.1,876,-123,17256
12.2,1234,-456,17089
12.3,1456,234,17523
12.4,1567,-567,16967
12.5,1345,-789,17401
12.6,987,123,16845
12.7,543,-345,17278
12.8,123,567,17123
12.9,-234,789,17556
13.0,-567,-123,16989
13.1,-789,-456,17423
13.2,-456,234,16867
13.3,-123,-567,17301
13.4,234,-789,17145
13.5,567,123,17578
13.6,789,-345,17023
13.7,456,567,17456
13.8,123,789,16889
13.9,-234,-123,17323
