Time,AccX,AccY,AccZ
0.000,0.0151367,0.0078125,0.9785157
0.104,0.0195312,0.0021973,0.9821778
0.208,0.0251465,0.0058594,0.9843750
0.312,0.0209961,-0.0053711,0.9951172
0.416,0.0236816,0.0080566,0.9960938
0.520,0.0217285,0.0007324,0.9807129
0.624,0.0183105,0.0034180,0.9919434
0.728,0.0222168,0.0061035,0.9824219
0.832,0.0197754,0.0073242,0.9968262
0.935,0.0205078,0.0048828,0.9931641
1.040,0.0200195,0.0073242,0.9975586
1.143,0.0227051,0.0073242,0.9975586
1.248,0.0207520,0.0080566,0.9912110
1.352,0.0190430,0.0026855,0.9873047
1.456,0.0166016,0.0000000,0.9902344
1.560,0.0168457,0.0029297,0.9919434
1.663,0.0195312,0.0065918,1.0019531
1.768,0.0207520,0.0065918,0.9787598
1.871,0.0173340,0.0024414,0.9978028
1.976,0.0217285,0.0087891,0.9895020
2.079,0.0200195,0.0048828,0.9982911
2.184,0.0187988,0.0046387,0.9904786
2.287,0.0168457,0.0100098,0.9892579
2.392,0.0173340,0.0002441,0.9912110
2.495,0.0166016,0.0078125,0.9892579
2.599,0.0197754,0.0068359,0.9841309
2.703,0.0163574,0.0095215,0.9951172
2.807,0.0214844,0.0068359,0.9899903
2.912,0.0214844,0.0017090,0.9938965
3.015,0.0197754,0.0070801,0.9899903
3.120,0.0202637,0.0034180,0.9885254
3.223,0.0219727,0.0017090,0.9951172
3.327,0.0205078,0.0114746,0.9851075
3.431,0.0222168,0.0097656,0.9912110
3.535,0.0139160,0.0051270,0.9873047
3.639,0.0214844,0.0087891,0.9907227
3.743,0.0158691,0.0063477,0.9934082
3.847,0.0151367,0.0090332,0.9814454
3.951,0.0187988,0.0056152,0.9916993
4.055,0.0249023,0.0083008,0.9897461
4.159,0.0173340,0.0026855,0.9819336
4.263,0.0231934,0.0041504,0.9926758
4.367,0.0170898,0.0012207,0.9858399
4.471,0.0202637,0.0119629,0.9919434
4.575,0.0124512,0.0117188,0.9846192
4.679,0.0205078,0.0136719,0.9902344
4.783,0.0195312,0.0056152,0.9895020
4.887,0.0219727,0.0056152,0.9780274
4.990,0.0231934,0.0004883,0.9829102
5.095,0.0158691,0.0039063,0.9863282
5.198,0.0217285,-0.0012207,0.9853516
5.303,0.0119629,0.0126953,0.9951172
5.407,0.0202637,0.0026855,0.9887696
5.511,0.0185547,0.0112305,0.9897461
5.615,0.0151367,0.0048828,0.9833985
5.719,0.0209961,0.0039063,0.9838868
5.823,0.0183105,0.0083008,0.9821778
5.926,0.0185547,0.0043945,0.9970704
6.031,0.0197754,0.0085449,0.9831543
6.134,0.0170898,0.0097656,0.9929200
6.239,0.0214844,-0.0009766,0.9812012
6.342,0.0183105,0.0026855,0.9941407
6.447,0.0153809,0.0068359,0.9880372
6.550,0.0197754,0.0073242,0.9868165
6.654,0.0168457,0.0075684,0.9904786
6.759,0.0168457,0.0097656,0.9899903
6.862,0.0244141,0.0065918,0.9794922
6.967,0.0183105,0.0087891,0.9843750
7.070,0.0185547,0.0036621,0.9833985
7.175,0.0178223,0.0095215,0.9880372
7.278,0.0227051,0.0036621,0.9936524
7.383,0.0212402,0.0053711,0.9963379
7.486,0.0222168,0.0021973,0.9833985
7.590,0.0217285,0.0097656,0.9956055
7.694,0.0178223,-0.0007324,0.9914551
7.798,0.0158691,0.0051270,0.9899903
7.903,0.0190430,-0.0024414,0.9785157
8.006,0.0153809,0.0014648,0.9914551
